node_id,graph_id,atom_type
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,1
15,0,2
16,0,2
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,1
24,1,0
25,1,0
26,1,0
27,1,1
28,1,2
29,1,2
30,2,0
31,2,0
32,2,0
33,2,0
34,2,0
35,2,0
36,2,0
37,2,1
38,2,0
39,2,0
40,2,1
41,2,2
42,2,2
62,4,0
63,4,0
64,4,0
65,4,0
66,4,0
67,4,0
68,4,3
69,4,1
70,4,2
71,4,2
72,4,3
73,5,0
74,5,0
75,5,0
76,5,0
77,5,0
78,5,0
79,5,0
80,5,0
81,5,0
82,5,0
83,5,0
84,5,0
85,5,0
86,5,0
87,5,0
88,5,0
89,5,1
90,5,2
91,5,2
92,5,1
93,5,2
94,5,2
95,5,1
96,5,2
97,5,2
98,5,1
99,5,2
100,5,2
101,6,0
102,6,0
103,6,0
104,6,0
105,6,0
106,6,0
107,6,0
108,6,1
109,6,2
110,6,2
111,6,0
112,6,0
113,6,0
114,6,0
115,6,0
116,6,0
137,8,0
138,8,0
139,8,0
140,8,1
141,8,0
142,8,1
143,8,0
144,8,0
145,8,0
146,8,1
147,8,2
148,8,2
149,9,0
150,9,0
151,9,0
152,9,0
153,9,0
154,9,0
155,9,0
156,9,0
157,9,0
158,9,0
159,9,0
160,9,0
161,9,0
162,9,0
163,9,1
164,9,2
165,9,2
183,11,0
184,11,0
185,11,0
186,11,0
187,11,0
188,11,0
189,11,0
190,11,0
191,11,0
192,11,0
193,11,0
194,11,0
195,11,0
196,11,0
197,11,0
198,11,0
199,11,1
200,11,1
201,11,2
202,11,2
203,12,0
204,12,0
205,12,0
206,12,0
207,12,0
208,12,0
209,12,0
210,12,0
211,12,0
212,12,0
213,12,0
214,12,0
215,12,0
216,12,0
217,12,0
218,12,0
219,12,1
220,12,2
221,12,2
222,12,1
223,12,2
224,12,2
225,13,0
226,13,1
227,13,0
228,13,0
229,13,0
230,13,0
231,13,0
232,13,0
233,13,0
234,13,1
235,13,1
236,13,2
237,13,2
238,14,0
239,14,0
240,14,0
241,14,0
242,14,0
243,14,0
244,14,0
245,14,0
246,14,0
247,14,0
248,14,0
249,14,0
250,14,0
251,14,0
252,14,0
253,14,0
254,14,1
255,14,2
256,14,2
257,15,0
258,15,0
259,15,0
260,15,0
261,15,0
262,15,0
263,15,0
264,15,0
265,15,0
266,15,0
267,15,0
268,15,0
269,15,0
270,15,0
271,15,0
272,15,0
273,15,1
274,15,2
275,15,2
276,15,1
277,15,2
278,15,2
279,16,0
280,16,0
281,16,0
282,16,0
283,16,0
284,16,0
285,16,1
286,16,1
287,16,2
288,16,2
289,16,1
290,17,0
291,17,0
292,17,0
293,17,0
294,17,0
295,17,0
296,17,0
297,17,0
298,17,0
299,17,0
300,17,0
301,17,0
302,17,0
303,17,2
304,17,1
305,17,2
306,17,2
320,19,0
321,19,0
322,19,0
323,19,0
324,19,0
325,19,0
326,19,0
327,19,1
328,19,0
329,19,0
330,19,0
331,19,0
332,19,0
333,19,0
334,19,0
335,19,1
336,19,2
337,19,2
338,20,0
339,20,0
340,20,0
341,20,0
342,20,0
343,20,0
344,20,1
345,20,2
346,20,2
347,20,0
348,20,0
349,20,0
350,20,0
351,20,0
352,20,0
353,20,1
354,20,2
355,20,2
373,22,0
374,22,0
375,22,0
376,22,0
377,22,0
378,22,0
379,22,0
380,22,0
381,22,0
382,22,0
383,22,0
384,22,0
385,22,0
386,22,0
387,22,0
388,22,0
389,22,0
390,22,0
391,22,0
392,22,0
393,22,1
394,22,2
395,22,2
396,23,0
397,23,0
398,23,0
399,23,0
400,23,0
401,23,0
402,23,0
403,23,0
404,23,0
405,23,0
406,23,0
407,23,0
408,23,0
409,23,0
410,23,0
411,23,0
412,23,0
413,23,0
414,23,0
415,23,0
416,23,0
417,23,0
418,23,0
419,23,0
420,23,1
421,23,2
422,23,2
423,24,0
424,24,0
425,24,0
426,24,0
427,24,0
428,24,0
429,24,1
430,24,2
431,24,2
432,24,0
433,24,0
434,24,0
435,24,0
436,24,0
437,24,0
438,24,0
439,24,2
453,26,0
454,26,0
455,26,0
456,26,0
457,26,0
458,26,0
459,26,0
460,26,0
461,26,0
462,26,0
463,26,0
464,26,0
465,26,0
466,26,0
467,26,0
468,26,0
469,26,0
470,26,0
471,26,0
472,26,0
473,26,1
474,26,2
475,26,2
476,27,0
477,27,0
478,27,0
479,27,0
480,27,0
481,27,0
482,27,1
483,27,2
484,27,2
485,27,0
486,27,0
487,27,0
488,27,0
489,27,0
490,27,0
491,27,0
492,27,3
493,28,0
494,28,0
495,28,0
496,28,0
497,28,0
498,28,0
499,28,1
500,28,2
501,28,2
502,28,0
503,28,2
504,28,0
505,28,0
506,28,0
507,28,0
508,28,0
509,28,0
510,28,1
511,28,2
512,28,2
513,28,1
514,28,2
515,28,2
516,29,0
517,29,0
518,29,0
519,29,0
520,29,0
521,29,0
522,29,0
523,29,0
524,29,0
525,29,0
526,29,0
527,29,0
528,29,0
529,29,0
530,29,0
531,29,0
532,29,0
533,29,0
534,29,0
535,29,0
536,29,1
537,29,2
538,29,2
539,30,0
540,30,0
541,30,0
542,30,0
543,30,0
544,30,0
545,30,0
546,30,0
547,30,0
548,30,0
549,30,0
550,30,0
551,30,0
552,30,0
553,30,0
554,30,0
555,30,1
556,30,2
557,30,2
558,30,1
559,30,2
560,30,2
561,31,0
562,31,0
563,31,0
564,31,0
565,31,0
566,31,0
567,31,0
568,31,0
569,31,0
570,31,0
571,31,0
572,31,0
573,31,1
574,31,2
575,31,2
576,31,1
577,31,2
578,31,2
579,31,1
580,31,2
581,31,2
582,31,1
583,31,2
584,31,2
585,32,0
586,32,0
587,32,0
588,32,0
589,32,0
590,32,0
591,32,1
592,32,0
593,32,2
594,32,0
595,32,3
596,32,3
597,32,3
598,32,0
599,32,0
600,32,0
601,32,0
602,32,0
603,32,0
604,32,0
605,32,1
606,32,2
607,32,2
608,33,0
609,33,0
610,33,0
611,33,0
612,33,0
613,33,0
614,33,0
615,33,0
616,33,0
617,33,0
618,33,1
619,33,2
620,33,2
621,34,0
622,34,0
623,34,0
624,34,0
625,34,0
626,34,0
627,34,1
628,34,0
629,34,0
630,34,0
631,34,0
632,34,0
633,34,0
634,34,0
635,34,1
636,34,2
637,34,2
638,35,0
639,35,0
640,35,0
641,35,0
642,35,0
643,35,0
644,35,0
645,35,0
646,35,0
647,35,0
648,35,0
649,35,1
650,35,2
651,35,2
652,36,0
653,36,0
654,36,0
655,36,0
656,36,0
657,36,0
658,36,0
659,36,0
660,36,0
661,36,0
662,36,0
663,36,0
664,36,0
665,36,0
666,36,1
667,36,2
668,36,2
684,38,0
